INFO [2019-09-16 15:35:40] Chain: 1, Iteration: 5
INFO [2019-09-16 15:35:40] Chain: 4, Iteration: 5
INFO [2019-09-16 15:35:41] Chain: 3, Iteration: 5
INFO [2019-09-16 15:35:41] Chain: 2, Iteration: 5
INFO [2019-09-16 15:35:42] Chain: 5, Iteration: 5
INFO [2019-09-16 15:35:43] Chain: 1, Iteration: 10
INFO [2019-09-16 15:35:43] Chain: 4, Iteration: 10
INFO [2019-09-16 15:35:44] Chain: 3, Iteration: 10
INFO [2019-09-16 15:35:46] Chain: 1, Iteration: 15
INFO [2019-09-16 15:35:46] Chain: 5, Iteration: 10
INFO [2019-09-16 15:35:46] Chain: 2, Iteration: 10
INFO [2019-09-16 15:35:47] Chain: 3, Iteration: 15
INFO [2019-09-16 15:35:48] Chain: 4, Iteration: 15
INFO [2019-09-16 15:35:49] Chain: 5, Iteration: 15
INFO [2019-09-16 15:35:50] Chain: 2, Iteration: 15
INFO [2019-09-16 15:52:30] Chain: 2, Iteration: 5
INFO [2019-09-16 15:52:30] Chain: 5, Iteration: 5
INFO [2019-09-16 15:52:30] Chain: 4, Iteration: 5
INFO [2019-09-16 15:52:32] Chain: 1, Iteration: 5
INFO [2019-09-16 15:52:32] Chain: 3, Iteration: 5
INFO [2019-09-16 15:52:33] Chain: 5, Iteration: 10
INFO [2019-09-16 15:52:33] Chain: 2, Iteration: 10
INFO [2019-09-16 15:52:33] Chain: 4, Iteration: 10
INFO [2019-09-16 15:52:36] Chain: 2, Iteration: 15
INFO [2019-09-16 15:52:36] Chain: 4, Iteration: 15
INFO [2019-09-16 15:52:36] Chain: 1, Iteration: 10
INFO [2019-09-16 15:52:37] Chain: 5, Iteration: 15
INFO [2019-09-16 15:52:37] Chain: 3, Iteration: 10
INFO [2019-09-16 15:52:39] Chain: 1, Iteration: 15
INFO [2019-09-16 15:52:40] Chain: 3, Iteration: 15
INFO [2019-09-16 17:16:33] Chain: 2, Iteration: 5
INFO [2019-09-16 17:16:33] Chain: 1, Iteration: 5
INFO [2019-09-16 17:16:33] Chain: 3, Iteration: 5
INFO [2019-09-16 17:16:33] Chain: 5, Iteration: 5
INFO [2019-09-16 17:16:33] Chain: 4, Iteration: 5
INFO [2019-09-16 17:16:36] Chain: 2, Iteration: 10
INFO [2019-09-16 17:16:37] Chain: 4, Iteration: 10
INFO [2019-09-16 17:16:37] Chain: 3, Iteration: 10
INFO [2019-09-16 17:16:37] Chain: 5, Iteration: 10
INFO [2019-09-16 17:16:37] Chain: 1, Iteration: 10
INFO [2019-09-16 17:16:40] Chain: 2, Iteration: 15
INFO [2019-09-16 17:16:41] Chain: 4, Iteration: 15
INFO [2019-09-16 17:16:41] Chain: 3, Iteration: 15
INFO [2019-09-16 17:16:41] Chain: 5, Iteration: 15
INFO [2019-09-16 17:16:41] Chain: 1, Iteration: 15
INFO [2019-09-16 17:16:44] Chain: 2, Iteration: 20
INFO [2019-09-16 17:16:44] Chain: 4, Iteration: 20
INFO [2019-09-16 17:16:44] Chain: 3, Iteration: 20
INFO [2019-09-16 17:16:44] Chain: 5, Iteration: 20
INFO [2019-09-16 17:16:44] Chain: 1, Iteration: 20
INFO [2019-09-16 17:16:48] Chain: 2, Iteration: 25
INFO [2019-09-16 17:16:48] Chain: 4, Iteration: 25
INFO [2019-09-16 17:16:48] Chain: 3, Iteration: 25
INFO [2019-09-16 17:16:48] Chain: 5, Iteration: 25
INFO [2019-09-16 17:16:48] Chain: 1, Iteration: 25
INFO [2019-09-16 17:16:51] Chain: 2, Iteration: 30
INFO [2019-09-16 17:16:51] Chain: 4, Iteration: 30
INFO [2019-09-16 17:16:51] Chain: 5, Iteration: 30
INFO [2019-09-16 17:16:51] Chain: 3, Iteration: 30
INFO [2019-09-16 17:16:52] Chain: 1, Iteration: 30
INFO [2019-09-16 17:16:55] Chain: 2, Iteration: 35
INFO [2019-09-16 17:16:55] Chain: 4, Iteration: 35
INFO [2019-09-16 17:16:55] Chain: 5, Iteration: 35
INFO [2019-09-16 17:16:55] Chain: 3, Iteration: 35
INFO [2019-09-16 17:16:55] Chain: 1, Iteration: 35
INFO [2019-09-16 17:16:58] Chain: 2, Iteration: 40
INFO [2019-09-16 17:16:58] Chain: 4, Iteration: 40
INFO [2019-09-16 17:16:58] Chain: 5, Iteration: 40
INFO [2019-09-16 17:16:59] Chain: 3, Iteration: 40
INFO [2019-09-16 17:16:59] Chain: 1, Iteration: 40
INFO [2019-09-16 17:17:02] Chain: 2, Iteration: 45
INFO [2019-09-16 17:17:02] Chain: 4, Iteration: 45
INFO [2019-09-16 17:17:02] Chain: 5, Iteration: 45
INFO [2019-09-16 17:17:02] Chain: 3, Iteration: 45
INFO [2019-09-16 17:17:02] Chain: 1, Iteration: 45
INFO [2019-09-16 17:17:05] Chain: 2, Iteration: 50
INFO [2019-09-16 17:17:06] Chain: 4, Iteration: 50
INFO [2019-09-16 17:17:06] Chain: 5, Iteration: 50
INFO [2019-09-16 17:17:06] Chain: 3, Iteration: 50
INFO [2019-09-16 17:17:06] Chain: 1, Iteration: 50
INFO [2019-09-16 17:17:09] Chain: 2, Iteration: 55
INFO [2019-09-16 17:17:09] Chain: 4, Iteration: 55
INFO [2019-09-16 17:17:09] Chain: 5, Iteration: 55
INFO [2019-09-16 17:17:09] Chain: 3, Iteration: 55
INFO [2019-09-16 17:17:10] Chain: 1, Iteration: 55
INFO [2019-09-16 17:17:13] Chain: 4, Iteration: 60
INFO [2019-09-16 17:17:13] Chain: 2, Iteration: 60
INFO [2019-09-16 17:17:13] Chain: 5, Iteration: 60
INFO [2019-09-16 17:17:13] Chain: 3, Iteration: 60
INFO [2019-09-16 17:17:14] Chain: 1, Iteration: 60
INFO [2019-09-16 17:17:17] Chain: 4, Iteration: 65
INFO [2019-09-16 17:17:17] Chain: 2, Iteration: 65
INFO [2019-09-16 17:17:17] Chain: 5, Iteration: 65
INFO [2019-09-16 17:17:17] Chain: 3, Iteration: 65
INFO [2019-09-16 17:17:17] Chain: 1, Iteration: 65
INFO [2019-09-16 17:17:20] Chain: 4, Iteration: 70
INFO [2019-09-16 17:17:20] Chain: 2, Iteration: 70
INFO [2019-09-16 17:17:20] Chain: 5, Iteration: 70
INFO [2019-09-16 17:17:21] Chain: 3, Iteration: 70
INFO [2019-09-16 17:17:21] Chain: 1, Iteration: 70
INFO [2019-09-16 17:17:24] Chain: 4, Iteration: 75
INFO [2019-09-16 17:17:24] Chain: 2, Iteration: 75
INFO [2019-09-16 17:17:24] Chain: 5, Iteration: 75
INFO [2019-09-16 17:17:24] Chain: 3, Iteration: 75
INFO [2019-09-16 17:17:24] Chain: 1, Iteration: 75
INFO [2019-09-16 17:17:27] Chain: 4, Iteration: 80
INFO [2019-09-16 17:17:27] Chain: 2, Iteration: 80
INFO [2019-09-16 17:17:27] Chain: 5, Iteration: 80
INFO [2019-09-16 17:17:28] Chain: 3, Iteration: 80
INFO [2019-09-16 17:17:28] Chain: 1, Iteration: 80
INFO [2019-09-16 17:17:31] Chain: 4, Iteration: 85
INFO [2019-09-16 17:17:31] Chain: 2, Iteration: 85
INFO [2019-09-16 17:17:31] Chain: 5, Iteration: 85
INFO [2019-09-16 17:17:31] Chain: 3, Iteration: 85
INFO [2019-09-16 17:17:31] Chain: 1, Iteration: 85
INFO [2019-09-16 17:17:34] Chain: 4, Iteration: 90
INFO [2019-09-16 17:17:34] Chain: 2, Iteration: 90
INFO [2019-09-16 17:17:34] Chain: 5, Iteration: 90
INFO [2019-09-16 17:17:35] Chain: 3, Iteration: 90
INFO [2019-09-16 17:17:35] Chain: 1, Iteration: 90
INFO [2019-09-16 17:17:38] Chain: 4, Iteration: 95
INFO [2019-09-16 17:17:38] Chain: 2, Iteration: 95
INFO [2019-09-16 17:17:38] Chain: 5, Iteration: 95
INFO [2019-09-16 17:17:38] Chain: 3, Iteration: 95
INFO [2019-09-16 17:17:39] Chain: 1, Iteration: 95
INFO [2019-09-16 17:17:41] Chain: 4, Iteration: 100
INFO [2019-09-16 17:17:41] Chain: 2, Iteration: 100
INFO [2019-09-16 17:17:41] Chain: 5, Iteration: 100
INFO [2019-09-16 17:17:42] Chain: 3, Iteration: 100
INFO [2019-09-16 17:17:42] Chain: 1, Iteration: 100
INFO [2019-09-16 17:17:45] Chain: 4, Iteration: 105
INFO [2019-09-16 17:17:45] Chain: 2, Iteration: 105
INFO [2019-09-16 17:17:45] Chain: 5, Iteration: 105
INFO [2019-09-16 17:17:45] Chain: 3, Iteration: 105
INFO [2019-09-16 17:17:46] Chain: 1, Iteration: 105
INFO [2019-09-16 17:17:49] Chain: 4, Iteration: 110
INFO [2019-09-16 17:17:49] Chain: 2, Iteration: 110
INFO [2019-09-16 17:17:49] Chain: 5, Iteration: 110
INFO [2019-09-16 17:17:50] Chain: 3, Iteration: 110
INFO [2019-09-16 17:17:50] Chain: 1, Iteration: 110
INFO [2019-09-16 17:17:52] Chain: 4, Iteration: 115
INFO [2019-09-16 17:17:52] Chain: 2, Iteration: 115
INFO [2019-09-16 17:17:53] Chain: 5, Iteration: 115
INFO [2019-09-16 17:17:53] Chain: 3, Iteration: 115
INFO [2019-09-16 17:17:53] Chain: 1, Iteration: 115
INFO [2019-09-16 17:17:56] Chain: 4, Iteration: 120
INFO [2019-09-16 17:17:56] Chain: 2, Iteration: 120
INFO [2019-09-16 17:17:56] Chain: 5, Iteration: 120
INFO [2019-09-16 17:17:57] Chain: 3, Iteration: 120
INFO [2019-09-16 17:17:57] Chain: 1, Iteration: 120
INFO [2019-09-16 17:17:59] Chain: 4, Iteration: 125
INFO [2019-09-16 17:17:59] Chain: 2, Iteration: 125
INFO [2019-09-16 17:18:00] Chain: 5, Iteration: 125
INFO [2019-09-16 17:18:00] Chain: 3, Iteration: 125
INFO [2019-09-16 17:18:00] Chain: 1, Iteration: 125
INFO [2019-09-16 17:18:03] Chain: 4, Iteration: 130
INFO [2019-09-16 17:18:03] Chain: 2, Iteration: 130
INFO [2019-09-16 17:18:03] Chain: 5, Iteration: 130
INFO [2019-09-16 17:18:04] Chain: 3, Iteration: 130
INFO [2019-09-16 17:18:04] Chain: 1, Iteration: 130
INFO [2019-09-16 17:18:07] Chain: 4, Iteration: 135
INFO [2019-09-16 17:18:07] Chain: 2, Iteration: 135
INFO [2019-09-16 17:18:07] Chain: 5, Iteration: 135
INFO [2019-09-16 17:18:07] Chain: 3, Iteration: 135
INFO [2019-09-16 17:18:07] Chain: 1, Iteration: 135
INFO [2019-09-16 17:18:10] Chain: 4, Iteration: 140
INFO [2019-09-16 17:18:10] Chain: 2, Iteration: 140
INFO [2019-09-16 17:18:11] Chain: 5, Iteration: 140
INFO [2019-09-16 17:18:11] Chain: 3, Iteration: 140
INFO [2019-09-16 17:18:11] Chain: 1, Iteration: 140
INFO [2019-09-16 17:18:14] Chain: 4, Iteration: 145
INFO [2019-09-16 17:18:14] Chain: 2, Iteration: 145
INFO [2019-09-16 17:18:14] Chain: 5, Iteration: 145
INFO [2019-09-16 17:18:15] Chain: 3, Iteration: 145
INFO [2019-09-16 17:18:15] Chain: 1, Iteration: 145
INFO [2019-09-16 17:18:17] Chain: 4, Iteration: 150
INFO [2019-09-16 17:18:17] Chain: 2, Iteration: 150
INFO [2019-09-16 17:18:18] Chain: 5, Iteration: 150
INFO [2019-09-16 17:18:18] Chain: 3, Iteration: 150
INFO [2019-09-16 17:18:18] Chain: 1, Iteration: 150
INFO [2019-09-16 17:18:21] Chain: 4, Iteration: 155
INFO [2019-09-16 17:18:21] Chain: 2, Iteration: 155
INFO [2019-09-16 17:18:21] Chain: 5, Iteration: 155
